0 193 11;
0 195 46;
17012.2 131 71 0;
17012.2 147 76 111;
17012.2 131 74 0;
17195.1 147 72 111;
17195.1 131 76 0;
17195.1 147 69 111;
17195.1 131 72 0;
17195.1 132 72 0;
17195.1 148 69 95;
17195.1 148 59 95;
17195.1 132 57 0;
17560.9 129 59 0;
17560.9 147 72 127;
17560.9 147 81 127;
17560.9 148 64 95;
17560.9 131 69 0;
17560.9 131 72 0;
17560.9 132 59 0;
17560.9 132 69 0;
17560.9 129 47 0;
17560.9 145 52 95;
17560.9 148 72 99;
17560.9 145 64 95;
17926.8 131 72 0;
17926.8 148 71 95;
17926.8 132 72 0;
17926.8 131 81 0;
17926.8 147 81 127;
17926.8 147 71 111;
17926.8 132 64 0;
17926.8 148 62 95;
18109.7 132 71 0;
18109.7 131 81 0;
18109.7 131 71 0;
18109.7 147 79 127;
18109.7 148 72 95;
18109.7 147 72 111;
18292.6 147 77 127;
18292.6 132 62 0;
18292.6 148 60 95;
18292.6 132 72 0;
18292.6 131 72 0;
18292.6 147 69 111;
18292.6 131 79 0;
18292.6 148 69 95;
18475.6 131 77 0;
18475.6 147 74 127;
18658.5 129 64 0;
18658.5 148 72 99;
18658.5 145 50 95;
18658.5 129 52 0;
18658.5 132 60 0;
18658.5 145 62 95;
18658.5 147 72 127;
18658.5 148 62 95;
18658.5 132 69 0;
18658.5 147 76 127;
18658.5 131 74 0;
18658.5 131 69 0;
19024.3 148 71 95;
19024.3 131 76 0;
19024.3 147 71 111;
19024.3 148 60 95;
19024.3 131 72 0;
19024.3 132 72 0;
19024.3 147 76 127;
19024.3 132 62 0;
19207.3 132 71 0;
19207.3 147 77 127;
19207.3 147 72 111;
19207.3 131 71 0;
19207.3 131 76 0;
19207.3 148 72 95;
19390.2 147 69 111;
19390.2 131 77 0;
19390.2 132 60 0;
19390.2 132 72 0;
19390.2 148 59 95;
19390.2 148 69 95;
19390.2 131 72 0;
19390.2 147 76 127;
19573.1 131 76 0;
19573.1 147 72 127;
19756.1 148 72 99;
19756.1 147 74 127;
19756.1 131 72 0;
19756.1 131 69 0;
19756.1 132 59 0;
19756.1 147 72 127;
19756.1 129 50 0;
19756.1 129 62 0;
19756.1 145 60 95;
19756.1 145 48 95;
19756.1 132 69 0;
19756.1 148 60 95;
20121.9 132 72 0;
20121.9 131 74 0;
20121.9 147 71 111;
20121.9 132 60 0;
20121.9 148 71 95;
20121.9 131 72 0;
20121.9 147 74 127;
20121.9 148 59 95;
20304.8 147 72 111;
20304.8 131 71 0;
20304.8 131 74 0;
20304.8 132 71 0;
